
\\usagers2.copl.ulaval.ca\usagers\SERAB1\My Documents\Zemaxe_3D_project\Best_for_simulation\2022-01\single_lens_MLA_630_FT_stop_convex_best_collimat_2022-04_FoV_fullEI_r1.52.zmx_SpotSize.txt

Spot Size;B Spot Size;G Spot Size;R Spot Size
17.77100;13.07452;15.84879;22.91939
17.86544;13.52028;15.87953;22.81834
18.18312;14.82390;16.01332;22.54205
18.82103;16.91013;16.37110;22.17423
19.91919;19.70654;17.13578;21.86319
21.62782;23.16585;18.51233;21.82642
24.07153;27.26533;20.67238;22.33614
27.32751;31.99851;23.71496;23.66975
31.42583;37.36762;27.66662;26.03640
36.36418;43.37877;32.50866;29.52950
42.12438;50.03938;38.20519;34.13921
48.68383;57.35695;44.71967;39.80078
17.86544;13.52028;15.87953;22.81834
17.96566;13.96007;15.91722;22.72173
18.30010;15.24881;16.07158;22.45907
18.96385;17.31719;16.46208;22.11497
20.09356;20.09721;17.26813;21.83870
21.83515;23.54332;18.68891;21.84770
24.30922;27.63289;20.88976;22.41160
27.59054;32.35888;23.96564;23.80187
31.70854;37.72287;27.94220;26.22045
36.66151;43.73041;32.80193;29.75580
42.43235;50.38851;38.51075;34.39703
48.99950;57.70434;45.03377;40.08097
18.18312;14.82390;16.01332;22.54205
18.30010;15.24881;16.07158;22.45907
18.68296;16.49989;16.28636;22.23825
19.42093;18.52214;16.77214;21.96658
20.64072;21.25878;17.69725;21.79567
22.47589;24.66925;19.24388;21.94187
25.03594;28.73156;21.55999;22.66596
28.38900;33.43752;24.72972;24.22154
32.56290;38.78709;28.77659;26.79003
37.55760;44.78440;33.68651;30.44667
43.35896;51.43530;39.43043;35.17829
49.94832;58.74615;45.97799;40.92653
18.82103;16.91013;16.37110;22.17423
18.96385;17.31719;16.46208;22.11497
19.42093;18.52214;16.77214;21.96658
20.27160;20.48584;17.40568;21.81909
21.62668;23.16524;18.51167;21.82589
23.60120;26.52694;20.24598;22.19842
26.28881;30.55082;22.73199;23.17999
29.74853;35.22781;26.03976;24.99471
34.00605;40.55613;30.19063;27.79385
39.06377;46.53811;35.17554;31.63538
44.91169;53.17813;40.97256;36.50471
