Spot Size;B Spot Size;G Spot Size;R Spot Size
17.77100;13.07452;15.84879;22.91939
17.72595;13.34866;15.73833;22.72100
17.62775;14.18716;15.44482;22.14467
17.58903;15.62961;15.08888;21.25190
17.79766;17.72034;14.88868;20.16303
18.49832;20.49336;15.15793;19.08546
19.94097;23.96766;16.24251;18.34527
22.31100;28.15023;18.39507;18.38085
25.68972;33.04116;21.69459;19.62792
30.07097;38.63758;26.08748;22.32713
35.40484;44.93600;31.47550;26.45822
41.63250;51.93341;37.76869;31.85951
17.72595;13.34866;15.73833;22.72100
17.68702;13.62558;15.63409;22.52570
17.60743;14.47148;15.36000;21.95909
17.60009;15.92369;15.03852;21.08426
17.85199;18.02428;14.88928;20.02434
18.60419;20.80579;15.22352;18.99056
20.09993;24.28675;16.37766;18.31210
22.51727;28.47429;18.59155;18.42489
25.93336;33.36882;21.93684;19.75231
30.34174;38.96786;26.36048;22.51930
35.69445;45.26823;31.76827;26.69869
41.93499;52.26710;38.07412;32.13134
17.62775;14.18716;15.44482;22.14467
17.60743;14.47148;15.36000;21.95909
17.58412;15.33711;15.14617;21.42321
17.67082;16.81552;14.93057;20.60489
18.05083;18.94273;14.93523;19.63570
18.95338;21.74745;15.46130;18.73790
20.60174;25.24683;16.81587;18.24816
23.15386;29.44823;19.20335;18.59168
26.67594;34.35296;22.67724;20.15344
31.16137;39.95948;27.18743;23.11468
36.56781;46.26541;32.65117;27.43148
42.84533;53.26853;38.99312;32.95342
17.58903;15.62961;15.08888;21.25190
17.60009;15.92369;15.03852;21.08426
17.67082;16.81552;14.93057;20.60489
17.91208;18.32910;14.89696;19.88995
18.49757;20.49267;15.15709;19.08482
19.63468;23.32971;15.98775;18.42781
21.51534;26.85529;17.64700;18.26104
24.26932;31.07684;20.29069;18.98189
27.94935;35.99669;23.95252;20.90978
32.55004;41.61452;28.58981;24.16517
38.03756;47.92900;34.13678;28.68778
44.37148;54.93876;40.53321;34.34393
17.79766;17.72034;14.88868;20.16303
17.85199;18.02428;14.88928;20.02434
18.05083;18.94273;14.93523;19.63570
18.49757;20.49267;15.15709;19.08482
19.34745;22.69469;15.75791;18.53445
20.77595;25.56687;16.97121;18.23772
22.93692;29.12180;18.99372;18.52830
25.93054;33.36660;21.93374;19.74901
29.79764;38.30439;25.81173;22.13361
34.53596;43.93599;30.59693;25.74301
40.12169;50.26114;36.24268;30.51103
46.52505;57.27935;42.70521;36.32855
18.49832;20.49336;15.15793;19.08546
18.60419;20.80579;15.22352;18.99056
18.95338;21.74745;15.46130;18.73790
19.63468;23.32971;15.98775;18.42781
20.77595;25.56687;16.97121;18.23772
22.51473;28.47224;18.58870;18.42213
24.96683;32.05588;20.97770;19.27892
28.20684;36.32424;24.21088;21.07082
32.26709;41.28084;28.30380;23.94587
37.14957;46.92733;33.23910;27.92407
42.84019;53.26437;38.98783;32.94738
